EUROSTAT;Model_sectors
Gross electricity generation Main activity electricity only - Hydro -1 MW;
Gross electricity generation Main activity electricity only - Hydro 1-10 MW;
Gross electricity generation Main activity electricity only - Hydro 10+ MW;
Gross electricity generation Autoproducer electricity only - Hydro -1 MW;
Gross electricity generation Autoproducer electricity only - Hydro 1-10 MW;
Gross electricity generation Autoproducer electricity only - Hydro 10+ MW;
Gross electricity generation Main activity electricity only - Solar Photovoltaic;
Gross electricity generation Main activity electricity only - Solar Thermal;
Gross electricity generation Autoproducer electricity only - Solar Photovoltaic;
Gross electricity generation Autoproducer electricity only - Solar Thermal;
Gross electricity generation Main activity electricity only - Nuclear;
Gross electricity generation Main activity CHP plants - Nuclear;
Gross electricity generation Autoproducer electricity only - Nuclear;
Gross electricity generation Autoproducer CHP plants - Nuclear;
Gross electricity generation Main activity electricity only - Hydro;
Gross electricity generation Autoproducer electricity only - Hydro;
Gross electricity generation Main activity electricity only - Pumped Hydro;
Gross electricity generation Autoproducer electricity only - Pumped Hydro;
Gross electricity generation Main activity electricity only - Geothermal;
Gross electricity generation Main activity CHP plants - Geothermal;
Gross electricity generation Autoproducer electricity only - Geothermal;
Gross electricity generation Autoproducer CHP plants - Geothermal;
Gross electricity generation Main activity electricity only - Tide, Wave and Ocean;
Gross electricity generation Autoproducer electricity only - Tide, Wave and Ocean;
Gross electricity generation Main activity electricity only - Wind;
Gross electricity generation Autoproducer electricity only - Wind;
Gross electricity generation Main activity electricity only - Combustible Fuels;
Gross electricity generation Main activity CHP plants - Combustible Fuels;
Gross electricity generation Autoproducer electricity only - Combustible Fuels;
Gross electricity generation Autoproducer CHP plants - Combustible Fuels;
Gross electricity generation Autoproducer electricity only - Heat from Chemical Sources;
Gross electricity generation Autoproducer CHP plants - Heat from Chemical Sources;
Gross electricity generation Main activity electricity only - Other Sources;
Gross electricity generation Main activity CHP plants - Other Sources;
Gross electricity generation Autoproducer electricity only - Other Sources;
Gross electricity generation Autoproducer CHP plants - Other Sources;
Net electricity generation Main activity electricity only - Nuclear;
Net electricity generation Main activity CHP plants - Nuclear;
Net electricity generation Autoproducer electricity only - Nuclear;
Net electricity generation Autoproducer CHP plants - Nuclear;
Net electricity generation Main activity electricity only - Hydro;
Net electricity generation Autoproducer electricity only - Hydro;
Net electricity generation Main activity electricity only - Pumped Hydro;
Net electricity generation Autoproducer electricity only - Pumped Hydro;
Net electricity generation Main activity electricity only - Geothermal;
Net electricity generation Main activity CHP plants - Geothermal;
Net electricity generation Autoproducer electricity only - Geothermal;
Net electricity generation Autoproducer CHP plants - Geothermal;
Net electricity generation Main activity electricity only - Solar;
Net electricity generation Autoproducer electricity only - Solar;
Net electricity generation Main activity electricity only - Tide, Wave and Ocean;
Net electricity generation Autoproducer electricity only - Tide, Wave and Ocean;
Net electricity generation Main activity electricity only - Wind;
Net electricity generation Autoproducer electricity only - Wind;
Net electricity generation Main activity electricity only - Combustible Fuels;
Net electricity generation Main activity CHP plants - Combustible Fuels;
Net electricity generation Autoproducer electricity only - Combustible Fuels;
Net electricity generation Autoproducer CHP plants - Combustible Fuels;
Net electricity generation Autoproducer electricity only - Heat from Chemical Sources;
Net electricity generation Autoproducer CHP plants - Heat from Chemical Sources;
Net electricity generation Main activity electricity only - Other Sources;
Net electricity generation Main activity CHP plants - Other Sources;
Net electricity generation Autoproducer electricity only - Other Sources;
Net electricity generation Autoproducer CHP plants - Other Sources;
Total gross production;
Total net production;
Gross electricity generation Main activity electricity only - Anthracite;
Gross electricity generation Main activity CHP plants - Anthracite;
Gross electricity generation Autoproducer electricity only - Anthracite;
Gross electricity generation Autoproducer CHP plants - Anthracite;
Gross electricity generation Main activity electricity only - Coking Coal;
Gross electricity generation Main activity CHP plants - Coking Coal;
Gross electricity generation Autoproducer electricity only - Coking Coal;
Gross electricity generation Autoproducer CHP plants - Coking Coal;
Gross electricity generation Main activity electricity only - Other Bituminous Coal;
Gross electricity generation Main activity CHP plants - Other Bituminous Coal;
Gross electricity generation Autoproducer electricity only - Other Bituminous Coal;
Gross electricity generation Autoproducer CHP plants - Other Bituminous Coal;
Gross electricity generation Main activity electricity only - Sub-Bituminous Coal;
Gross electricity generation Main activity CHP plants - Sub-Bituminous Coal;
Gross electricity generation Autoproducer electricity only - Sub-Bituminous Coal;
Gross electricity generation Autoproducer CHP plants - Sub-Bituminous Coal;
Gross electricity generation Main activity electricity only - Lignite/Brown Coal;
Gross electricity generation Main activity CHP plants - Lignite/Brown Coal;
Gross electricity generation Autoproducer electricity only - Lignite/Brown Coal;
Gross electricity generation Autoproducer CHP plants - Lignite/Brown Coal;
Gross electricity generation Main activity electricity only - Peat;
Gross electricity generation Main activity CHP plants - Peat;
Gross electricity generation Autoproducer electricity only - Peat;
Gross electricity generation Autoproducer CHP plants - Peat;
Gross electricity generation Main activity electricity only - Patent Fuel;
Gross electricity generation Main activity CHP plants - Patent Fuel;
Gross electricity generation Autoproducer electricity only - Patent Fuel;
Gross electricity generation Autoproducer CHP plants - Patent Fuel;
Gross electricity generation Main activity electricity only - Coke Oven Coke;
Gross electricity generation Main activity CHP plants - Coke Oven Coke;
Gross electricity generation Autoproducer electricity only - Coke Oven Coke;
Gross electricity generation Autoproducer CHP plants - Coke Oven Coke;
Gross electricity generation Main activity electricity only - Gas Coke;
Gross electricity generation Main activity CHP plants - Gas Coke;
Gross electricity generation Autoproducer electricity only - Gas Coke;
Gross electricity generation Autoproducer CHP plants - Gas Coke;
Gross electricity generation Main activity electricity only - Coal Tar;
Gross electricity generation Main activity CHP plants - Coal Tar;
Gross electricity generation Autoproducer electricity only - Coal Tar;
Gross electricity generation Autoproducer CHP plants - Coal Tar;
Gross electricity generation Main activity electricity only - BKB;
Gross electricity generation Main activity CHP plants - BKB;
Gross electricity generation Autoproducer electricity only - BKB;
Gross electricity generation Autoproducer CHP plants - BKB;
Gross electricity generation Main activity electricity only - Gas Works Gas;
Gross electricity generation Main activity CHP plants - Gas Works Gas;
Gross electricity generation Autoproducer electricity only - Gas Works Gas;
Gross electricity generation Autoproducer CHP plants - Gas Works Gas;
Gross electricity generation Main activity electricity only - Coke Oven Gas;
Gross electricity generation Main activity CHP plants - Coke Oven Gas;
Gross electricity generation Autoproducer electricity only - Coke Oven Gas;
Gross electricity generation Autoproducer CHP plants - Coke Oven Gas;
Gross electricity generation Main activity electricity only - Blast Furnace Gas;
Gross electricity generation Main activity CHP plants - Blast Furnace Gas;
Gross electricity generation Autoproducer electricity only - Blast Furnace Gas;
Gross electricity generation Autoproducer CHP plants - Blast Furnace Gas;
Gross electricity generation Main activity electricity only - Other Recovered Gases;
Gross electricity generation Main activity CHP plants - Other Recovered Gases;
Gross electricity generation Autoproducer electricity only - Other Recovered Gases;
Gross electricity generation Autoproducer CHP plants - Other Recovered Gases;
Gross electricity generation Main activity electricity only - Oil shale and oil sands;
Gross electricity generation Main activity CHP plants - Oil shale and oil sands;
Gross electricity generation Autoproducer electricity only - Oil shale and oil sands;
Gross electricity generation Autoproducer CHP plants - Oil shale and oil sands;
Gross electricity generation Main activity electricity only - Peat products;
Gross electricity generation Main activity CHP plants - Peat products;
Gross electricity generation Autoproducer electricity only - Peat products;
Gross electricity generation Autoproducer CHP plants - Peat products;
Gross electricity generation Main activity electricity only - Crude Oil;
Gross electricity generation Main activity CHP plants - Crude Oil;
Gross electricity generation Autoproducer electricity only - Crude Oil;
Gross electricity generation Autoproducer CHP plants - Crude Oil;
Gross electricity generation Main activity electricity only - NGL (Natural Gas Liquids);
Gross electricity generation Main activity CHP plants - NGL (Natural Gas Liquids);
Gross electricity generation Autoproducer electricity only - NGL (Natural Gas Liquids);
Gross electricity generation Autoproducer CHP plants - NGL (Natural Gas Liquids);
Gross electricity generation Main activity electricity only - Refinery Gas;
Gross electricity generation Main activity CHP plants - Refinery Gas;
Gross electricity generation Autoproducer electricity only - Refinery Gas;
Gross electricity generation Autoproducer CHP plants - Refinery Gas;
Gross electricity generation Main activity electricity only - LPG (Liquefied Petroleum Gases);
Gross electricity generation Main activity CHP plants - LPG (Liquefied Petroleum Gases);
Gross electricity generation Autoproducer electricity only - LPG (Liquefied Petroleum Gases);
Gross electricity generation Autoproducer CHP plants - LPG (Liquefied Petroleum Gases);
Gross electricity generation Main activity electricity only - Naphtha;
Gross electricity generation Main activity CHP plants - Naphtha;
Gross electricity generation Autoproducer electricity only - Naphtha;
Gross electricity generation Autoproducer CHP plants - Naphtha;
Gross electricity generation Main activity electricity only - Kerosene Type Jet Fuel;
Gross electricity generation Main activity CHP plants - Kerosene Type Jet Fuel;
Gross electricity generation Autoproducer electricity only - Kerosene Type Jet Fuel;
Gross electricity generation Autoproducer CHP plants - Kerosene Type Jet Fuel;
Gross electricity generation Main activity electricity only - Other Kerosene;
Gross electricity generation Main activity CHP plants - Other Kerosene;
Gross electricity generation Autoproducer electricity only - Other Kerosene;
Gross electricity generation Autoproducer CHP plants - Other Kerosene;
Gross electricity generation Main activity electricity only - Gas / Diesel Oil;
Gross electricity generation Main activity CHP plants - Gas / Diesel Oil;
Gross electricity generation Autoproducer electricity only - Gas / Diesel Oil;
Gross electricity generation Autoproducer CHP plants - Gas / Diesel Oil;
Gross electricity generation Main activity electricity only - Residual Fuel Oil;
Gross electricity generation Main activity CHP plants - Residual Fuel Oil;
Gross electricity generation Autoproducer electricity only - Residual Fuel Oil;
Gross electricity generation Autoproducer CHP plants - Residual Fuel Oil;
Gross electricity generation Main activity electricity only - Bitumen;
Gross electricity generation Main activity CHP plants - Bitumen;
Gross electricity generation Autoproducer electricity only - Bitumen;
Gross electricity generation Autoproducer CHP plants - Bitumen;
Gross electricity generation Main activity electricity only - Petroleum Coke;
Gross electricity generation Main activity CHP plants - Petroleum Coke;
Gross electricity generation Autoproducer electricity only - Petroleum Coke;
Gross electricity generation Autoproducer CHP plants - Petroleum Coke;
Gross electricity generation Main activity electricity only - Other Oil Products;
Gross electricity generation Main activity CHP plants - Other Oil Products;
Gross electricity generation Autoproducer electricity only - Other Oil Products;
Gross electricity generation Autoproducer CHP plants - Other Oil Products;
Gross electricity generation Main activity electricity only - Natural Gas;
Gross electricity generation Main activity CHP plants - Natural Gas;
Gross electricity generation Autoproducer electricity only - Natural Gas;
Gross electricity generation Autoproducer CHP plants - Natural Gas;
Gross electricity generation Main activity electricity only - Industrial Waste;
Gross electricity generation Main activity CHP plants - Industrial Waste;
Gross electricity generation Autoproducer electricity only - Industrial Waste;
Gross electricity generation Autoproducer CHP plants - Industrial Waste;
Gross electricity generation Main activity electricity only - Municipal Waste (Renewable);
Gross electricity generation Main activity CHP plants - Municipal Waste (Renewable);
Gross electricity generation Autoproducer electricity only - Municipal Waste (Renewable);
Gross electricity generation Autoproducer CHP plants - Municipal Waste (Renewable);
Gross electricity generation Main activity electricity only - Municipal Waste (Non-Renewable);
Gross electricity generation Main activity CHP plants - Municipal Waste (Non-Renewable);
Gross electricity generation Autoproducer electricity only - Municipal Waste (Non-Renewable);
Gross electricity generation Autoproducer CHP plants - Municipal Waste (Non-Renewable);
Gross electricity generation Main activity electricity only - Solid biofuels excluding charcoal;
Gross electricity generation Main activity CHP plants - Solid biofuels excluding charcoal;
Gross electricity generation Autoproducer electricity only - Solid biofuels excluding charcoal;
Gross electricity generation Autoproducer CHP plants - Solid biofuels excluding charcoal;
Gross electricity generation Main activity electricity only - Biogases;
Gross electricity generation Main activity CHP plants - Biogases;
Gross electricity generation Autoproducer electricity only - Biogases;
Gross electricity generation Autoproducer CHP plants - Biogases;
Gross electricity generation Main activity electricity only - Biodiesels;
Gross electricity generation Main activity CHP plants - Biodiesels;
Gross electricity generation Autoproducer electricity only - Biodiesels;
Gross electricity generation Autoproducer CHP plants - Biodiesels;
Gross electricity generation Main activity electricity only - Other Liquid Biofuels;
Gross electricity generation Main activity CHP plants - Other Liquid Biofuels;
Gross electricity generation Autoproducer electricity only - Other Liquid Biofuels;
Gross electricity generation Autoproducer CHP plants - Other Liquid Biofuels;
Imports;
Exports;
Gross inland consumption;
Transformation output;
Transformation output - Conventional Thermal Power Stations;
Transformation output - Main Activity Conventional Thermal Power Stations;
Transformation output - Autoproducer Conventional Thermal Power Stations;
Transformation output - Nuclear Power Stations;
Exchanges, Transfers, Returns;
Interproduct transfers;
Production in Pumped storage power stations;
Used for pumped storage;
Consumption in Energy Sector;
Own Use in Electricity, CHP and Heat Plants;
Pumped storage power stations balance;
Consumption in Oil and gas extraction;
Consumption in Petroleum Refineries;
Consumption in Nuclear industry;
Consumption in Coal Mines;
Consumption in Patent Fuel Plants;
Consumption in Coke Ovens;
Consumption in BKB / PB Plants;
Consumption in Gas Works;
Consumption in Blast Furnaces;
Consumption in Coal Liquefaction Plants;
Consumption in Liquefaction (LNG) / regasification plants;
Consumption in Gasification plants for biogas;
Consumption in Gas-to-liquids (GTL) plants (energy);
Consumption in Non-specified (Energy);
Consumption in Charcoal production plants (Energy);
Used for heat pumps;
Used for electric boilers;
Distribution Losses;
Energy Available for Final Consumption;
Final Energy Consumption;
Final Energy Consumption - Industry;IND
Iron and Steel;
Non-Ferrous Metals;
Chemical and Petrochemical;
Non-Metallic Minerals;
Mining and Quarrying;
Food and Tobacco;
Textile and Leather;
Paper, Pulp and Print;
Transport Equipment;
Machinery;
Wood and Wood Products;
Construction;
Non-specified (Industry);
Final Energy Consumption - Transport;
Rail;
Road;
Consumption in Pipeline transport;
Non-specified (Transport);
Final Energy Consumption - Other Sectors;
Residential;RES
Fishing;
Agriculture/Forestry;AGR
Services;COM
Non-specified (Other);COM
Statistical Difference;
